Name,Account,Political group,Nationality
NISTERLROOIJ Lambert van,@LvNistelrooij,EPP,Netherlands
NOICHL Maria,,S&D,Germany
NOVAKOV Andrey,@AndreyNovakov,EPP,Bulgaria
NUTTALL Paul,@paulnuttallukip,EFDD,UK
O'FLYNN Patrick,@oflynnmep,EFDD,UK
OBERMAYR Franz,@franzobermayr,ENF,Austria
OLBRYCHT Jan Marian,@JanOlbrycht,EPP,Poland
OMARJEE Younous,@younousomarjee,GUE/NGL,France
OŻÓG Stanisław,@biuroposelskie,ECR,Poland
PABRIKS Artis,@Pabriks,EPP,Latvia
PAET Urmas,@Urmaspaet,ALDE,Estonia
PAGAZAURTUNDÚA RUIZ Maite,@maitepagaza,ALDE,Spain
PAKSAS Rolandas,@RolandasPaksas,EFDD,Lithuania
PANZERI Pier Antonio,@AntonioPanzeri,S&D,Italy
PAOLUCCI Massimo,@MassimoPaolucc6,S&D,Italy
PAPADAKIS Demetris,@DemPapadakis,S&D,Cyprus
PAPADAKIS Konstantinos,,NI (Communist Party of Greece),Greece
PAPADIMOULIS Dimitrios,@papadimoulis,GUE/NGL,Greece
PARGNEAUX Gilles,@gillespargneaux,S&D,France
PARKER Margot,@MargotLJParker,EFDD,UK
PAȘCU Ioan Mircea,@ioanmirceapascu,S&D,Romania
PATRICIELLO Aldo,@PatricielloAldo,EPP,Italy
PAUNOVA Eva,@evapaunova,EPP,Bulgaria
PAVEL Emilian,@PavelEmilian,S&D,Romania
PEDICINI Piernicola,@PediciniM5S,EFDD,Italy
PEILLON Vincent,@Vincent_Peillon,S&D,France
PETERLE Alojz,@lojzepeterle,EPP,Slovenia
PETERSEN Morten Helveg,@mortenhelveg,ALDE,Denmark
PETIR Marijana,@marijana_petir,EPP,Croatia
PHILIPPOT Florian,@f_philippot,ENF,France
PICIERNO Giuseppina,@pinapic,S&D,Italy
PICULA Tonino,@TPicula,S&D,Croatia
PIECHA Bolesław Grzegorz,,ECR,Poland
PIEPER Markus,@markuspieperMEP,EPP,Germany
PIETIKÄINEN Sirpa,@spietikainen,EPP,Finland
PIMENTA LOPES Joan,,GUE/NGL,Portugal
PIOTROWSKI Mirosław,,ECR,Poland
PIRI Kati,@KatiPiri,S&D,Netherlands
PIRINSKI Georgi,,S&D,Bulgaria
PITERA Julia,,EPP,Poland
PITTELLA Gianni,@giannipittella,S&D,Italy
PLENKOVIĆ Andrej,@AndrejPlenkovic,EPP,Croatia
PLURA Marek MirosÅ‚aw,@marek_plura,EPP,Poland
POC Pavel,@pavelpoc,S&D,Czech Republic
POCHE Miroslav,@PocheMEP,S&D,Czech Republic
POGLIESE Salvatore Domenico,@SalvoPogliese,EPP,Italy
POLČÁK Stanislav,@stanislavpolcak,EPP,Czech Republic
PONGA Maurice,@mauriceponga,EPP,France
PORĘBA Tomasz Piotr,@TomaszPoreba,ECR,Poland
POSPÍŠIL Jiří,@Pospisil_Jiri,EPP,Czech Republic
POST Soraya,@SorayaPostFi,S&D,Sweden
PREDA Cristian Dan,@CDPreda,EPP,Germany
PRETZELL Marcus,@MarcusPretzell,ENF,Germany
PREUSS Gabriele,@GabrielePreuss,S&D,Germany
PROUST Franck,@franckproust,EPP,France
PUNSET Carolina,@CarolinaPunset,ALDE,Spain
QUISTHOUDT ROWOHL Godelieve,@GQuisthoudt,EPP,Germany
RADEV Emil,@Emil_Radev,EPP,Bulgaria
RADOŠ Jozo,@jozorados,ALDE,Croatia
RANGEL Paulo,@libertarofuturo,EPP,Portugal
REBEGA Constantin Laurențiu,,ENF,Romania
REDA Julia,@Senficon,Greens,Germany
REDING Viviane,@VivianeRedingEU,EPP,Luxembourg
REGNER Evelyn,@Evelyn_Regner,S&D,Austria
REID Julia,@julia_reid,EFDD,UK
REIMON Michel,@michelreimon,Greens,Austria
REINTKE Terry,@TerryReintke,Greens,Germany
REUL Herbert,@hreul,EPP,Germany
REVAULT D'ALLONNES BONNEFOY Christine,@cdallonnes,S&D,France
RIBEIRO Sofia,@SofiaHRibeiro,EPP,Portugal
RIES Frédérique,@Frederiqueries,ALDE,Belgium
RIQUET Dominique,@DominiqueRiquet,ALDE,France
RIVASI Michèle,@MicheleRivasi,Greens,France
ROCHEFORT Robert,@robertrochefort,ALDE,France
RODRIGUES Liliana,@LilianaMEP,S&D,Portugal
RODRIGUES Maria João,@MJRodriguesEU,S&D,Spain
RODRÍGUEZ-PIÑERO FERNÁNDEZ Inmaculada,@RodriguezPinero,S&D,Spain
RODUST Ulrike,@UlrikeRodust,S&D,Germany
ROHDE Jens,@rohde_jens,ALDE,Denmark
ROLIN Claude,@clauderolin,EPP,Belgium
ROPĖ Bronis,@BronisRopeLT,Greens,Lithuania
ROSATI Dariusz,@DariuszRosati,EPP,Poland
ROZIÈRE Virginie,@VRoziere,S&D,France
RUAS Fernando,,EPP,Portugal
RUBIG Paul,@PaulRuebig,EPP,Austria
RUOHONEN-LERNER Pirkko,,ECR,Finland
SAÏFI Tokia,@TokiaSaifi,EPP,France
SAKORAFA Sofia,@SofiaSakorafa,GUE/NGL,Greece
SALINI Massimiliano,@MaxSalini,EPP,Italy
SALVINI Matteo,@matteosalvinimi,ENF,Italy
SÁNCHEZ CALDENTEY Lola,@LolaPodemos,GUE/NGL,Spain
SANDER Anne,@ASanderMEP,EPP,France
SANT Alfred,@SantAlfred,S&D,Malta
SANTOS dos Manuel,,S&D,Portugal
SÂRBU Daciana Octavia,@DacianaSarbu,S&D,Romania
SARGENTINI Judith,@judithineuropa,Greens,Netherlands
SARVAMAA Petri,@petrisarvamaa,EPP,Finland
SARYUSZ WOLSKI Jacek,@JSaryuszWolski,EPP,Poland
SASSOLI David Maria,@DavidSassoli,S&D,Italy
SAUDARGAS Algirdas,@SaudargasA,EPP,Lithuania
SCHAAKE Marietje,@MarietjeSchaake,ALDE,Netherlands
SCHAFFHAUSER Jean Luc,@JLSchaffhauser,ENF,France
SCHALDEMOSE Christel,@SchaldemoseMEP,S&D,Denmark
SCHLEIN Elena Ethel,@ellyesse,S&D,Italy
SCHMIDT Claudia,@Schmidt_Clau,EPP,Austria
SCHOLZ Helmut,@HelmutScholzMEP,GUE/NGL,Germany
SCHÖPFLIN György,@schopflinMEP,EPP,Hungary
SCHREIJER PIERIK Annie,@AnnieSchreijer,EPP,Netherlands
SCHULZ Martin,@MartinSchulz,S&D,Germany
SCHULZE Sven,@schulzeeuropa,EPP,Germany
SCHUSTER Joachim,,S&D,Germany
SCHWAB Andreas,@Andreas_Schwab,EPP,Germany
SCOTT CATO Molly,@MollyScottCato,Greens,UK
SEBASTIÀ Jordi,@Sebastia_Jordi,Greens,Spain
SEHNALOVÁ Olga,@OlgaSehnalova,S&D,Czech Republic
SELIMOVIC Jasenko,@jasenkos,ALDE,Sweden
SENRA RODRiGUEZ Lidia Maria,@LidiaSenra,GUE/NGL,Spain
SERNAGIOTTO Remo,@SernagiottoRemo,ECR,Italy
SERRÃO SANTOS Ricardo,,S&D,Portugal
SEYMOUR Jill,@JSeymourUKIP,EFDD,UK
SIEKIERSKI Czesław Adam,@CzSiekierski,EPP,Poland
SILVA PEREIRA Pedro,,S&D,Portugal
SIMON Peter,@PeterSimonMEP,S&D,Germany
SIMON Sion,@sionsimon,S&D,UK
SIPPEL Birgit,@BirgitSippelMEP,S&D,Germany
SKRIPEK Branislav,@BranoSkripek,ECR,Poland
SKRLEC Davor,@DavorSkrlec,Greens,Croatia
SMITH Alyn,@AlynSmithMEP,Greens,UK
SMOLKOVÁ Monika,@SmolkovaMonika,S&D,Slovakia
SÓGOR Csaba,,EPP,Romania
ŠOJDROVÁ Michaela,@msojdrova,EPP,Czech Republic
SOLTES Igor,@isoltesEP,Greens,Slovenia
SOMMER Renate,,EPP,Germany
SONNEBORN Martin,@MartinSonneborn,NI (Die Partei),Germany
SORU Renato,@renatosoru,NI (Partito Democratico),Italy
SPINELLI Barbara,,GUE/NGL,Italy
SPYRAKI Maria,@MariaSpyraki,EPP,Greece
STAES Bart,@BartStaes,Greens,Belgium
STANISHEV Sergei,@SergeiStanishev,S&D,Bulgaria
STARBATTY Joachim,@JStarbatty,ECR,Germany
STEFANEC Ivan,@IvanStefanec,EPP,Slovakia
STEINRUCK Jutta,@JuttaSteinruck,S&D,Germany
ŠTĚTINA Jaromír,@StetinaEP,EPP,Czech Republic
STEVENS Helga,@StevensHelga,ECR,Belgium
STIER Davor Ivo,@davorstier,EPP,Croatia
STIHLER Catherine,@C_Stihler_MEP,S&D,UK
STOLOJAN Theodor Dumitru,@TheodorStolojan,EPP,Romania
STORCH Beatrix von,@Beatrix_vStorch,EFDD,Germany
STUGER Olaf,@OlafStuger,ENF,Netherlands
SUICA Dubravka,@dubravkasuica,EPP,Croatia
SULÍK Richard,@SulikRichard,ECR,Slovakia
SULIN Patricija,@PatricijaSulin,EPP,Slovenia
SVOBODA Pavel,@1PavelSvoboda,EPP,Czech Republic
SWINBURNE Kay,@KaySwinburneMEP,ECR,UK
SYLIKIOTIS Neoklis,@sylikiotis,GUE/NGL,Cyprus
SYNADINOS Eleytherios,@Synadinos_Eleft,NI (Popular Association -Golden Dawn),Greece
SZÁJER József,,EPP,Hungary
SZANYI Tibor,@szanyitibor,S&D,Hungary
SZEJNFELD Adam,@szejnfeld,EPP,Poland
TAJANI Antonio,@Antonio_Tajani,EPP,Italy
TAKKULA Hannu,@HTakkula,ALDE,Finland
TAMBURRANO Dario,@tamburrano,EFDD,Italy
TĂNĂSESCU Claudiu Ciprian,,S&D,Romania
TANG Paul,@paultang,S&D,Netherlands
TANNOCK Charles,@CharlesTannock,ECR,UK
TAPARDEL Ana Claudia,@ClaudiaTapardel,S&D,Romania
TARABELLA Marc,@marctarabella,S&D,Belgium
TARAND Indrek,@indrektarand,Greens,Estonia
TAYLOR Keith,@GreenKeithMEP,Greens,UK
TELIČKA Pavel,@Telicka,ALDE,Czech Republic
TERRICABRAS Joseph Maria,@jmterricabras,Greens,Spain
THEOCHAROUS Eleni,@THEOCHAROUSE,ECR,Cyprus
THEURER Michael,@EUTheurer,ALDE,Germany
THOMAS Isabelle,@Isabel_thomasEU,S&D,France
THUN UND HOHENSTEIN Róża Gräfin von,@rozathun,EPP,Poland
TOIA Patrizia,@toiapatrizia,S&D,Italy
TOKES Lszlo,,EPP,Hungary
TOMAŠEVSKI Valdemar,,ECR,Lithuania
TOMAŠIĆ Ruža,@RuzaTomasic,ECR,Croatia
TOMC Romana,@RomanaTomc,EPP,Slovenia
TOOM Yana,@YanaToom,ALDE,Estonia
TORRES MARTINEZ Estefania,@etorrespodemos,GUE/NGL,Spain
TORVALDS Nils,@NilsTorvalds,ALDE,Finland
TOŠENOVSKÝ Evžen,@EvzenTosenovsky,ECR,Czech Republic
TREBESIUS Ulrike,@TrebesiusMdEP,ECR,Germany
TREMOSA i BALCELLS Ramon,@ramontremosa,ALDE,Spain
TROSZCZYNSKI Mylène,@Troszczynski_FN,ENF,France
TRÜPEL Helga,@HelgaTruepel,Greens,Germany
TURCANU Mihai,@turcanu2014,EPP,Romania
TURMES Claude,@Claude_Turmes,Greens,Luxembourg
UJAZDOWSKI Kazimierz Michał,@kmujazdowski,ECR,Poland
UJHELYI István,@istvan_ujhelyi,S&D,Hungary
ULVSKOG Marita,@maritaulvskog,S&D,Sweden
UNGUREANU Traian,@TraianUngureanu,EPP,Romania
URBAN CRESPO Miguel,@MiguelUrban,GUE/NGL,Spain
URTASUN Ernest,@ernesturtasun,Greens,Spain
URUTCHEV Vladimir,@urutchev,EPP,Bulgaria
USPASKICH Viktor,@ViktorUspaskich,ALDE,Lithuania
VAIDERE Inese,@IneseVaidere,EPP,Latvia
VAJGL Ivo,@ivajgl,ALDE,Slovenia
VALCÁRCEL SISO Ramón Luis,,EPP,Spain
VĂLEAN Adina Ioana,@AdinaValean,EPP,Romania
VALENCIANO Elena,@ElenaValenciano,S&D,Spain
VALERO Bodil,@bodilvalero,Greens,Sweden
VALLI Marco,@MarcoValliM5S,EFDD,Italy
VALLINA Ángela,@AngelaVallina,GUE/NGL,Spain
VAN BOSSUYT Annaleen,@anneleen_vb,ECR,Belgium
VAN BREMPT Kathleen,@kvanbrempt,S&D,Belgium
VAN ORDEN Geoffrey,,ECR,UK
VANA Monika,@MonikaVana,Greens,Austria
VANDENKENDELAERE Tom,@tomvdkendelaere,EPP,Belgium
VAUGHAN Derek,@derekvaughan,S&D,UK
VAUTMANS Hilde,@hildevautmans,ALDE,Belgium
VÄYRYNEN Paavo,@kokokansanpaavo,ALDE,Finland
VERGIAT Marie Christine,@MCVergiat,GUE/NGL,France
VERHEYEN Sabine,@sabineverheyen,EPP,Germany
VERHOFSTADT Guy,@GuyVerhofstadt,ALDE,Belgium
VIEGAS Miguel,,GUE/NGL,Portugal
VILIMSKY Harald,@vilimsky,ENF,Austria
VIOTTI Daniele,@danieleviotti,S&D,Italy
VIRKKUNEN Henna,@HennaVirkkunen,EPP,Finland
VISTISEN Anders Primdahl,@AndersVistisen,ECR,Denmark
VOIGT Udo,@udovoigt,NI (Nationaldemokratische Partei Deutschlands),Germany
VOSS Axel,@AxelVossMdEP,EPP,Germany
VOZEMBERG Elissavet,@vozemberg,EPP,Greece
WAŁĘSA Jarosław,@WalesaMEP,EPP,Poland
WARD Julie,@julie4nw,S&D,UK
WEBER Manfred,@ManfredWeber,EPP,Germany
WEBER Renate,@renateweber,ALDE,Romania
WEIDENHOLZER Josef,@Weidenholzer,S&D,Austria
WEIZSÄCKER Jakob von,,S&D,Germany
WENTA Bogdan Brunon,,EPP,Poland
WERNER Martina,@MartinaWernerEU,S&D,Germany
WESTPHAL Kerstin,@WestphalKerstin,S&D,Germany
WIELAND Rainer,,EPP,Germany
WIERINCK Lieve,@LieveWierinck,ALDE,Belgium
WIKSTRÖM Cecilia,@CeciliaWikstrom,ALDE,Sweden
WILLMOTT Glenis,@GlenisWillmott,S&D,UK
WINBERG Kristina,@KristinaWinberg,EFDD,Sweden
WINKLER Hermann,,EPP,Germany
WINKLER Iuliu,@IuliuWinkler,EPP,Romania
WIŚNIEWSKA Jadwiga,@j_wisniewska,ECR,Poland
WOOLFE Steven,@Steven_Woolfe,EFDD,UK
ZÁBORSKÁ Anna,@AnnaZaborska,EPP,Slovakia
ZAGORAKIS Theodoros,,EPP,Greece
ZAHRADIL Jan,@ZahradilJan,ECR,Czech Republic
ZALA Boris,@zalaboris,S&D,Slovakia
ZALBA BIDEGAIN Pablo,@PabloZalba,EPP,Spain
ZANNI Marco,@Marcozanni86,EFDD,Italy
ZANONATO Flavio,@flaviozanonato,S&D,Italy
ZARIANOPOULOS Sotirios,,NI (Communist Party of Greece),Greece
ZDANOKA Tatjana,@Tatjana_Zdanoka,Greens,Latvia
ZDECHOVSKÝ Tomáš,@TomZdechovsky,EPP,Czech Republic
ZDROJEWSKI Bogdan Andrzej,@BZdrojewski,EPP,Poland
ZELLER Joachim,@joachimzeller,EPP,Germany
ZEMKE Janusz,@JanuszZemke,S&D,Poland
ZIJLSTRA Auka,,ENF,Netherlands
ZĪLE Roberts,@robertszile,ECR,Latvia
ZIMMER Gabriele,@GabiZimmerMEP,GUE/NGL,Germany
ŽITŇANSKÁ Jana,,ECR,Slovakia
ZŁOTOWSKI Kosma Tadeusz,,ECR,Poland
ZOFFOLI Damiano,@DamianoZoffoli,S&D,Italy
ŻÓŁTEK Stanisław,,ENF,Poland
ZORRINHO Carlos,@czorrinho,S&D,Portugal
ZULLO Marco,@MarcoZullo,EFDD,Italy
ZVER Milan,@MilanZver,EPP,Slovenia
ZWIEFKA Tadeusz,@TadeuszZwiefka,EPP,Poland
