Name,Account,Political group,Nationality
COELHO Carlos,@CarlosCoelhoPE,EPP,Portugal
COFFERATI Sergio Gaetano,@Cofferati,S&D,Italy
COLLIN LANGEN Birgit,,EPP,Germany
COLLINS Jane,@Jane_CollinsMEP,EFDD,UK
COMI Lara,@comilara,EPP,Italy
COMODINI CACHIA Therese,@ComodiniCachia,EPP,Malta
CORAZZA BILDT Anna Maria,@AnnaMariaCB,EPP,Sweden
CORBETT Richard,@RCorbettMEP,S&D,UK
CORRAO Ignazio,@ignaziocorrao,EFDD,Italy
COSTA Silvia,@SilviaCostaEU,S&D,Italy
COUSO PERMUY Javier,@Caninator,GUE/NGL,Spain
COZZOLINO Andrea,@cozzolino62,S&D,Italy
CRAMER Michael,@MepMCramer,Greens,Germany
CRISTEA Andi Lucian,@andicristeamep,S&D,Romania
CROWLEY Brian,,ECR,Ireland
CSÁKY Pál,@csakypal,EPP,Slovakia
CZARNECKI Ryszard,@r_czarnecki,ECR,Poland
CZESAK Edward,,ECR,Poland
D'AMATO Rosa,@rosadamato634,EFDD,Italy
D'ORNANO Mireille,@MireilledOrnano,ENF,France
DALEN Peter van,@petervdalen,ECR,Netherlands
DALLI Miriam,@Miriamdalli,S&D,Malta
DALTON Daniel,@ddalton40,ECR,UK
DALUNDE Jakop,@JakopDalunde,Greens,Sweden
DANCE Seb,@SebDance,S&D,UK
DANCILA Vlorica,@VioricaDancila,S&D,Romania
DANJEAN Arnaud,@ArnaudDanjean,EPP,France
DANTI Nicola,@DantiNicola,S&D,Italy
DANTIN Michel,@MichelDANTIN,EPP,France
DARTMOUTH William The Earl of,,EFDD,UK
DATI Rachida,@datirachida,EPP,France
DE CASTRO Paolo,@paolodecastro,S&D,Italy
DE MASI Fabio,@FabioDeMasi,GUE/NGL,Germany
DE MONTE Isabella,@IsabellaDeMonte,S&D,Italy
DE SARNEZ Marielle,@desarnez,ALDE,France
DELAHAYE Angélique,@Delahaye_Europe,EPP,France
DELI Andor,@AndorDeli,EPP,Hungary
DELLI Karima,@KarimaDelli,Greens,France
DELVAUX STEHRES Mady,@mady_delvaux,S&D,Luxembourg
DEMESMAEKER Mark,@markdemesmaeker,ECR,Belgium
DENANOT Jean Paul,@jpdenanot,S&D,France
DEPREZ Gérard,@gerardeprez,ALDE,Belgium
DESS Albert,@Albert_Dess_MEP,EPP,Germany
DEUTSCH Tamás,@dajcstomi,EPP,Hungary
DEVA Nirj,@NirjDeva,ECR,UK
DIACONU Mircea,@M_DiaconuMEP,ALDE,Romania
DIAZ DE MERA GARCIA CONSUEGRA Agustin,,EPP,Spain
DLABAJOVÁ Martina,@Mdlabajova,ALDE,Czech Republic
DODDS Anneliese,@AnnelieseDodds,S&D,UK
DODDS Diane,@DianeDoddsMEP,NI (Democratic Unionist Party),UK
DOHRMANN Jørn,@MEPDohrmann,ECR,Denmark
DORFMANN Herbert,@HerbertDorfmann,EPP,Italy
DRĂGHICI Damian,@damiandraghici,S&D,Romania
DUNCAN Ian,@IanDuncanMEP,ECR,UK
DURAND Pascal,@PDurandOfficiel,Greens,France
DZHAMBAZKI Angel,,ECR,Bulgaria
ECK Stefan,@Stefan_Eck_MEP,GUE/NGL,Germany
EHLER Christian,,EPP,Germany
EICKHOUT Bas,@BasEickhout,Greens,Netherlands
ENGEL Frank,,EPP,Luxembourg
ENGSTRÖM Linnéa,@LinneaEngstrom,Greens,Sweden
EPITIDEIOS Georgios,@EpitidGeorgios,NI (Popular Association -Golden Dawn),Greece
ERDŐS Norbert,,EPP,Hungary
ERNST Cornelia,@ErnstCornelia,GUE/NGL,Germany
ERTUG Ismail,@IsmailErtug,S&D,Germany
ESTARÀS FERRAGUT Rosa,,EPP,Spain
ETHERIDGE Bill,@BillDudleyNorth,EFDD,UK
EVANS Jill,@JillEvansMEP,Greens,UK
EVI Eleonora,@EleonoraEvi,EFDD,Italy
FAJON Tanja,@tfajon,S&D,Slovenia
FARAGE Nigel,@Nigel_Farage,EFDD,UK
FARIA José Inácio,@JoseFariaMEP,ALDE,Portugal
FEDERLEY Fredrick,@federley,ALDE,Sweden
FERBER Markus,@MarkusFerber,EPP,Germany
FERNANDES José Manuel,@JMFernandesEU,EPP,Portugal
FERNÁNDEZ Jonás,@jonasfernandez,S&D,Spain
FERRAND Edouard,@e_ferrand,ENF,France
FERRARA Laura,@LFerraraM5S,EFDD,Italy
FERREIRA João,,GUE/NGL,Portugal
FINCH Raymond,@raymondfinch,EFDD,UK
FISAS AYXELÀ Santiago,@SantiagoFisas,EPP,Spain
FITTO Raffaele,@RaffaeleFitto,ECR,Italy
FJELLNER Christofer,@Fjellner,EPP,Sweden
FLANAGAN Luke Ming,@lukeming,GUE/NGL,Ireland
FLAŠÍKOVÁ BEŇOVÁ Monika,@MonikaFlaBenova,S&D,Slovakia
FLECKENSTEIN Knut,@knufleckenstein,S&D,Germany
FLORENZ Karl Heinz,,EPP,Germany
FONTANA Lorenzo,@Fontana3Lorenzo,ENF,Italy
FORD Vicky,@vickyford,ECR,UK
FORENZA Eleonora,@eleonoraforenza,GUE/NGL,Italy
FOSTER Jacqueline,@jfostermep,ECR,UK
FOTYGA Anna Elżbieta,,ECR,Poland
FOUNTOULIS Lampros,@FountoulisLampr,NI (Popular Association -Golden Dawn),Greece
FOX Ashley,@Ashleyfoxmep,ECR,UK
FREUND Eugen,@EugenAFreund,S&D,Austria
FRUNZULICĂ‚ Doru Claudian,,S&D,Romania
GABRIEL Mariya,@GabrielMariya,EPP,Bulgaria
GAHLER Michael,@michaelgahler,EPP,Germany
GÁL Kinga,,EPP,Hungary
GÁLL-PELCZ Ildikó,,EPP,Hungary
GAMBÚS Francesc,@fgambus_eu,EPP,Spain
GARCÍA PÉREZ Iratxe,@IratxeGarper,S&D,Spain
GARDIAZABAL RUBIAL Eider,@EGardiazabal,S&D,Spain
GARDINI Elisabetta,@EGardini,EPP,Italy
GASBARRA Enrico,@enricogasbarra,S&D,Italy
GEBHARDT Evelyne,,S&D,Germany
GEIER Jens,@EuropaJens,S&D,Germany
GENTILE Elena,@elena_gentile,S&D,Italy
GERBRANDY Gerben Jan,@Gerbrandy,ALDE,Netherlands
GERICKE Arne,@Arne_Gericke,ECR,Germany
